inn,normalized_inn,fda_date,fda_brand_name,fda_sponsor,mfds_date,mfds_item_name,mfds_company,days_fda_to_mfds,mfds_before_fda
Acetaminophen,acetaminophen,2020-02-28,ADVIL DUAL ACTION WITH ACETAMINOPHEN,HALEON US HOLDINGS,2019-06-12,솔루아펜연질캡슐(아세트아미노펜),현대약품(주),-261,True
Rosuvastatin Calcium,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-06-13,크레로우정20밀리그램(로수바스타틴칼슘),(주)다산제약,-1875,True
Rosuvastatin Calcium,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-06-13,크레로우정10밀리그램(로수바스타틴칼슘),(주)다산제약,-1875,True
Rosuvastatin Calcium,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-06-13,크레로우정5밀리그램(로수바스타틴칼슘),(주)다산제약,-1875,True
Ciprofloxacin Hydrochloride Hydrate,ciprofloxacin,2001-09-14,CIPROFLOXACIN HYDROCHLORIDE,SANDOZ,2019-06-13,씨플록스정(시프로플록사신염산염수화물),(주)중헌제약,6481,False
Metformin Hydrochloride,metformin,2019-08-12,JANUMET,MSD SUB MERCK,2019-06-13,메트린정500mg(메트포르민염산염),익수제약(주),-60,True
Celecoxib,celecoxib,2024-11-21,CELEBREX,UPJOHN,2019-06-14,쎄레브이정100밀리그램(세레콕시브),한림제약(주),-1987,True
Olopatadine Hydrochloride,olopatadine,2015-01-30,PATADAY ONCE DAILY RELIEF,ALCON LABS INC,2019-06-14,올로파딘점안액0.2%(올로파타딘염산염),(주)휴비스트제약,1596,False
Losartan Potassium,losartan,1998-08-31,COZAAR,ORGANON,2019-06-14,로사르정100mg(로사르탄칼륨),한국휴텍스제약(주),7592,False
Losartan Potassium,losartan,1998-08-31,COZAAR,ORGANON,2019-06-14,뉴로사탄정50mg(로사르탄칼륨),대한뉴팜(주),7592,False
Losartan Potassium,losartan,1998-08-31,COZAAR,ORGANON,2019-06-14,뉴로사탄정100mg(로사르탄칼륨),대한뉴팜(주),7592,False
Ibuprofen,ibuprofen,2000-01-18,ADVIL COLD AND SINUS,HALEON US HOLDINGS,2019-06-17,파인큐이부펜시럽(이부프로펜),대원바이오텍주식회사,7090,False
Tranexamic Acid,tranexamic acid,2016-05-23,TRANEXAMIC ACID,AMRING PHARMS,2019-06-17,트라미넥스주(트라넥삼산)(수출용),(주)에이프로젠바이오로직스,1120,False
Acetaminophen,acetaminophen,2020-02-28,ADVIL DUAL ACTION WITH ACETAMINOPHEN,HALEON US HOLDINGS,2019-06-17,마하펜연질캡슐(아세트아미노펜),일양바이오팜(주),-256,True
Olopatadine Hydrochloride,olopatadine,2015-01-30,PATADAY ONCE DAILY RELIEF,ALCON LABS INC,2019-06-18,올타딘점안액0.2%(올로파타딘염산염)(1회용),풍림무약(주),1600,False
Escitalopram Oxalate,escitalopram oxalate,2016-01-28,LEXAPRO,ABBVIE,2019-06-19,한화에스시탈로프람정5밀리그램(에스시탈로프람옥살산염),한화제약(주),1238,False
Escitalopram Oxalate,escitalopram oxalate,2016-01-28,LEXAPRO,ABBVIE,2019-06-19,한화에스시탈로프람정10밀리그램(에스시탈로프람옥살산염),한화제약(주),1238,False
Pregabalin,pregabalin,2013-02-28,PREGABALIN,UPJOHN,2019-06-19,라리칸캡슐75밀리그램(프레가발린),알리코제약(주),2302,False
Pregabalin,pregabalin,2013-02-28,PREGABALIN,UPJOHN,2019-06-19,리리큐어캡슐150mg(프레가발린),건일바이오팜주식회사,2302,False
Quetiapine Fumarate,quetiapine fumarate,2007-05-17,SEROQUEL XR,CHEPLAPHARM,2019-06-21,비엘쿠에티정100밀리그램(쿠에티아핀푸마르산염),(주)라이트팜텍,4418,False
Quetiapine Fumarate,quetiapine fumarate,2007-05-17,SEROQUEL XR,CHEPLAPHARM,2019-06-21,제이씨쿠에티아핀정25mg(쿠에티아핀푸마르산염),(주)라이트팜텍,4418,False
Quetiapine Fumarate,quetiapine fumarate,2007-05-17,SEROQUEL XR,CHEPLAPHARM,2019-06-21,티아펜정200밀리그램(쿠에티아핀푸마르산염),건일바이오팜주식회사,4418,False
Quetiapine Fumarate,quetiapine fumarate,2007-05-17,SEROQUEL XR,CHEPLAPHARM,2019-06-21,티아펜정300밀리그램(쿠에티아핀푸마르산염),건일바이오팜주식회사,4418,False
Dutasteride,dutasteride,2013-04-30,AVODART,WAYLIS THERAP,2019-06-24,모모타정(두타스테리드),(주)셀릭스,2246,False
Losartan Potassium,losartan,1998-08-31,COZAAR,ORGANON,2019-06-25,프로자탄정100밀리그램(로사르탄칼륨),(주)동구바이오제약,7603,False
Quetiapine Fumarate,quetiapine fumarate,2007-05-17,SEROQUEL XR,CHEPLAPHARM,2019-06-27,티디핀정25밀리그램(쿠에티아핀푸마르산염),(주)티디에스팜,4424,False
Pregabalin,pregabalin,2013-02-28,PREGABALIN,UPJOHN,2019-06-27,프레리카캡슐25밀리그램(프레가발린),(주)메디카코리아,2310,False
Pregabalin,pregabalin,2013-02-28,PREGABALIN,UPJOHN,2019-06-27,프레리카캡슐50밀리그램(프레가발린),(주)메디카코리아,2310,False
Rosuvastatin Calcium,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-06-28,로수바신정5mg(로수바스타틴칼슘),지엘파마(주),-1860,True
Rosuvastatin Calcium,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-06-28,로수바신정10mg(로수바스타틴칼슘),지엘파마(주),-1860,True
Rosuvastatin Calcium,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-06-28,로수바신정20mg(로수바스타틴칼슘),지엘파마(주),-1860,True
Prednisolone Acetate,prednisolone acetate,2002-12-04,PREDNISOLONE ACETATE,SANDOZ,2019-07-01,프레아인점안액(프레드니솔론아세테이트),주식회사제뉴원사이언스,6053,False
Lidocaine,lidocaine,2014-09-29,ZINGO,POWDER PHARMS,2019-07-02,5-엠씨크림(리도카인),주식회사더유제약,1737,False
Clindamycin Phosphate,clindamycin phosphate,2023-03-06,XACIATO,ORGANON LLC,2019-07-02,클린디올액(클린다마이신포스페이트),주식회사더유제약,-1343,True
Rosuvastatin Calcium,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-07-04,로바트정5밀리그램(로수바스타틴칼슘),(유)한풍제약,-1854,True
Rosuvastatin Calcium,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-07-04,로바트정10밀리그램(로수바스타틴칼슘),(유)한풍제약,-1854,True
Rosuvastatin Calcium,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-07-04,로바트정20밀리그램(로수바스타틴칼슘),(유)한풍제약,-1854,True
Olopatadine Hydrochloride,olopatadine,2015-01-30,PATADAY ONCE DAILY RELIEF,ALCON LABS INC,2019-07-05,알러비드점안액0.2%(올로파타딘염산염)(1회용),(주)옵투스제약,1617,False
Acetaminophen,acetaminophen,2020-02-28,ADVIL DUAL ACTION WITH ACETAMINOPHEN,HALEON US HOLDINGS,2019-07-05,아쎄타몰주(아세트아미노펜),(주)동구바이오제약,-238,True
Meloxicam,meloxicam,2025-06-05,XIFYRM,AZURITY,2019-07-08,멜록트캡슐7.5밀리그램(멜록시캄),(유)한풍제약,-2159,True
Clopidogrel Bisulfate,clopidogrel bi,2001-07-19,PLAVIX,SANOFI AVENTIS US,2019-07-08,클로핀정(클로피도그렐황산염),(유)한풍제약,6563,False
Losartan Potassium,losartan,1998-08-31,COZAAR,ORGANON,2019-07-08,로사탈정(로사르탄칼륨)  ,(유)한풍제약,7616,False
Tadalafil,tadalafil,2005-03-31,CIALIS,LILLY,2019-07-10,오설램정5밀리그램(타다라필),(주)보령,5214,False
Tadalafil,tadalafil,2005-03-31,CIALIS,LILLY,2019-07-10,오설램정20밀리그램(타다라필),(주)보령,5214,False
Tadalafil,tadalafil,2005-03-31,CIALIS,LILLY,2019-07-10,오설램정10밀리그램(타다라필),(주)보령,5214,False
Tadalafil,tadalafil,2005-03-31,CIALIS,LILLY,2019-07-11,코오롱타다라필정5밀리그램(수출용),코오롱제약(주),5215,False
Clopidogrel Bisulfate,clopidogrel bi,2001-07-19,PLAVIX,SANOFI AVENTIS US,2019-07-12,유빅스정(클로피도그렐황산수소염),에스에스팜(주),6567,False
Mometasone Furoate,mometasone furoate,2020-04-28,SINUVA,INTERSECT ENT INC,2019-07-15,아라넥스나잘스프레이액(모메타손푸로에이트),삼진제약(주),-288,True
Meloxicam,meloxicam,2025-06-05,XIFYRM,AZURITY,2019-07-16,유니캄캡슐7.5밀리그램(멜록시캄),한국유니온제약(주),-2151,True
Mometasone Furoate Micronized,mometasone furoate,2020-04-28,SINUVA,INTERSECT ENT INC,2019-07-17,나조메타나잘스프레이(모메타손푸로에이트(미분화)),신일제약(주),-286,True
Rosuvastatin Calcium,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-07-18,로수틴엠정20mg(로수바스타틴칼슘),(주)마더스제약,-1840,True
Ibuprofen,ibuprofen,2000-01-18,ADVIL COLD AND SINUS,HALEON US HOLDINGS,2019-07-18,이부펜주(이부프로펜),(주)휴메딕스,7121,False
Prednisolone Acetate,prednisolone acetate,2002-12-04,PREDNISOLONE ACETATE,SANDOZ,2019-07-23,포르텐점안액(프레드니솔론아세테이트),삼천당제약(주),6075,False
Quetiapine Fumarate,quetiapine fumarate,2007-05-17,SEROQUEL XR,CHEPLAPHARM,2019-07-23,세로큐정25밀리그램(쿠에티아핀푸마르산염),하나제약(주),4450,False
Quetiapine Fumarate,quetiapine fumarate,2007-05-17,SEROQUEL XR,CHEPLAPHARM,2019-07-23,세로큐정100밀리그램(쿠에티아핀푸마르산염),하나제약(주),4450,False
Quetiapine Fumarate,quetiapine fumarate,2007-05-17,SEROQUEL XR,CHEPLAPHARM,2019-07-23,세로큐정200밀리그램(쿠에티아핀푸마르산염),하나제약(주),4450,False
Quetiapine Fumarate,quetiapine fumarate,2007-05-17,SEROQUEL XR,CHEPLAPHARM,2019-07-23,세로큐정300밀리그램(쿠에티아핀푸마르산염),하나제약(주),4450,False
Lidocaine,lidocaine,2014-09-29,ZINGO,POWDER PHARMS,2019-07-24,리도킨연고5%(리도카인),오스틴제약(주),1759,False
Acyclovir,acyclovir,2009-07-31,XERESE,BAUSCH,2019-07-25,아씨엠정200mg(아시클로버),(주)마더스제약,3646,False
Pregabalin,pregabalin,2013-02-28,PREGABALIN,UPJOHN,2019-07-29,현대프레가발린정50밀리그램,현대약품(주),2342,False
Pregabalin,pregabalin,2013-02-28,PREGABALIN,UPJOHN,2019-07-29,현대프레가발린정25밀리그램,현대약품(주),2342,False
Pregabalin,pregabalin,2013-02-28,PREGABALIN,UPJOHN,2019-07-29,가벨린정50밀리그램(프레가발린),삼일제약(주),2342,False
Pregabalin,pregabalin,2013-02-28,PREGABALIN,UPJOHN,2019-07-29,가벨린정25밀리그램(프레가발린),삼일제약(주),2342,False
Pregabalin,pregabalin,2013-02-28,PREGABALIN,UPJOHN,2019-07-29,리레카캡슐25mg(프레가발린),한국휴텍스제약(주),2342,False
Pregabalin,pregabalin,2013-02-28,PREGABALIN,UPJOHN,2019-07-29,리레카캡슐50mg(프레가발린),한국휴텍스제약(주),2342,False
Lidocaine,lidocaine,2014-09-29,ZINGO,POWDER PHARMS,2019-07-30,비카인크림(리도카인),알파제약(주),1765,False
Mometasone Furoate,mometasone furoate,2020-04-28,SINUVA,INTERSECT ENT INC,2019-07-30,씨엠지나조나잘스프레이(모메타손푸로에이트),(주)씨엠지제약,-273,True
Acetaminophen,acetaminophen,2020-02-28,ADVIL DUAL ACTION WITH ACETAMINOPHEN,HALEON US HOLDINGS,2019-07-30,파노펜주(아세트아미노펜),동광제약(주),-213,True
Escitalopram Oxalate,escitalopram oxalate,2016-01-28,LEXAPRO,ABBVIE,2019-07-30,렉시프람정5밀리그램(에스시탈로프람옥살산염),(주)동구바이오제약,1279,False
Escitalopram Oxalate,escitalopram oxalate,2016-01-28,LEXAPRO,ABBVIE,2019-07-30,렉시프람정20밀리그램(에스시탈로프람옥살산염) ,(주)동구바이오제약,1279,False
Escitalopram Oxalate,escitalopram oxalate,2016-01-28,LEXAPRO,ABBVIE,2019-07-30,렉시프람정10밀리그램(에스시탈로프람옥살산염),(주)동구바이오제약,1279,False
Rosuvastatin Calcium,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-07-31,로바타린정5밀리그램(로수바스타틴칼슘),독립바이오제약(주),-1827,True
Meloxicam,meloxicam,2025-06-05,XIFYRM,AZURITY,2019-08-05,엔티시캄캡슐7.5밀리그램(멜록시캄),(주)셀비온,-2131,True
Rosuvastatin Calcium,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-08-06,로바타린정20밀리그램(로수바스타틴칼슘),독립바이오제약(주),-1821,True
Gabapentin,gabapentin,2000-09-19,NEURONTIN,VIATRIS,2019-08-07,뉴가틴엠캡슐300mg(가바펜틴),(주)마더스제약,6896,False
Gabapentin,gabapentin,2000-09-19,NEURONTIN,VIATRIS,2019-08-07,뉴가틴엠캡슐100mg(가바펜틴),(주)마더스제약,6896,False
Escitalopram Oxalate,escitalopram oxalate,2016-01-28,LEXAPRO,ABBVIE,2019-08-07,렉사콜드정5밀리그램(에스시탈로프람옥살산염),(주)대웅제약,1287,False
Escitalopram Oxalate,escitalopram oxalate,2016-01-28,LEXAPRO,ABBVIE,2019-08-07,렉사콜드정10밀리그램(에스시탈로프람옥살산염),(주)대웅제약,1287,False
Escitalopram Oxalate,escitalopram oxalate,2016-01-28,LEXAPRO,ABBVIE,2019-08-07,렉사콜드정20밀리그램(에스시탈로프람옥살산염),(주)대웅제약,1287,False
Rosuvastatin Calcium Micronized,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-08-08,이텍스로수바스타틴칼슘정20mg(수출용),(주)테라젠이텍스,-1819,True
Pregabalin,pregabalin,2013-02-28,PREGABALIN,UPJOHN,2019-08-09,프릴린정75밀리그램(프레가발린),명문제약(주),2353,False
Pregabalin,pregabalin,2013-02-28,PREGABALIN,UPJOHN,2019-08-09,프릴린정150밀리그램(프레가발린),명문제약(주),2353,False
Pregabalin,pregabalin,2013-02-28,PREGABALIN,UPJOHN,2019-08-12,프레발캡슐75밀리그램(프레가발린),(유)한풍제약,2356,False
Pregabalin,pregabalin,2013-02-28,PREGABALIN,UPJOHN,2019-08-12,프레발캡슐150밀리그램(프레가발린),(유)한풍제약,2356,False
Dutasteride,dutasteride,2013-04-30,AVODART,WAYLIS THERAP,2019-08-12,두타윈연질캡슐0.5밀리그램(두타스테리드),(유)한풍제약,2295,False
Sodium Chloride,chloride,1981-02-23,SODIUM CHLORIDE,BAXTER HLTHCARE,2019-08-12,코애탁나잘스프레이액(염화나트륨),태극제약(주),14049,False
Mometasone Furoate,mometasone furoate,2020-04-28,SINUVA,INTERSECT ENT INC,2019-08-12,비조넥스나잘스프레이(모메타손푸로에이트),하나제약(주),-260,True
Tadalafil,tadalafil,2005-03-31,CIALIS,LILLY,2019-08-13,코오롱타다라필정2.5밀리그램(수출용),코오롱제약(주),5248,False
Ciprofloxacin Hydrochloride Hydrate,ciprofloxacin,2001-09-14,CIPROFLOXACIN HYDROCHLORIDE,SANDOZ,2019-08-14,씨프로바이정250밀리그램(시프로플록사신염산염수화물),바이엘코리아(주),6543,False
Dutasteride,dutasteride,2013-04-30,AVODART,WAYLIS THERAP,2019-08-14,두타스텐정0.5밀리그램(두타스테리드),(유)한풍제약,2297,False
Fenofibrate,fenofibrate,2025-10-01,FENOFIBRATE,LUPIN,2019-08-14,페노브정(페노피브레이트),대화제약(주),-2240,True
Metformin Hydrochloride,metformin,2019-08-12,JANUMET,MSD SUB MERCK,2019-08-16,슈퍼다이아정500밀리그램(메트포르민염산염),안국약품(주),4,False
Rosuvastatin Calcium,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-08-19,로바테롤정5mg(로수바스타틴칼슘),대우제약(주),-1808,True
Celecoxib,celecoxib,2024-11-21,CELEBREX,UPJOHN,2019-08-21,세레스캡슐200밀리그램(세레콕시브),(유)한풍제약,-1919,True
Acetaminophen,acetaminophen,2020-02-28,ADVIL DUAL ACTION WITH ACETAMINOPHEN,HALEON US HOLDINGS,2019-08-21,타스펜주(아세트아미노펜),대우제약(주),-191,True
Tranexamic Acid,tranexamic acid,2016-05-23,TRANEXAMIC ACID,AMRING PHARMS,2019-08-21,멜라스민캡슐(트라넥삼산),오스틴제약(주),1185,False
Rosuvastatin Calcium,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-08-22,로바타린정10밀리그램(로수바스타틴칼슘),독립바이오제약(주),-1805,True
Dutasteride,dutasteride,2013-04-30,AVODART,WAYLIS THERAP,2019-08-22,두타모아정0.5밀리그램(두타스테리드),제이더블유생명과학(주),2305,False
Ibuprofen,ibuprofen,2000-01-18,ADVIL COLD AND SINUS,HALEON US HOLDINGS,2019-08-26,팜페인이부연질캡슐(이부프로펜),이연제약(주),7160,False
Mometasone Furoate,mometasone furoate,2020-04-28,SINUVA,INTERSECT ENT INC,2019-08-28,제뉴원모메타손로션(모메타손푸로에이트),주식회사제뉴원사이언스,-244,True
Gabapentin,gabapentin,2000-09-19,NEURONTIN,VIATRIS,2019-08-28,아이펜틴캡슐300밀리그램(가바펜틴),(주)아이월드제약,6917,False
Losartan Potassium,losartan,1998-08-31,COZAAR,ORGANON,2019-08-28,로사칼정50밀리그램(로사르탄칼륨),(주)서흥,7667,False
Escitalopram Oxalate,escitalopram oxalate,2016-01-28,LEXAPRO,ABBVIE,2019-08-28,시타프릴정10mg(에스시탈로프람옥살산염),구주제약(주),1308,False
Clopidogrel Bisulfate,clopidogrel bi,2001-07-19,PLAVIX,SANOFI AVENTIS US,2019-08-28,클로부스트정(클로피도그렐황산염),주식회사케이에스제약,6614,False
Cyclosporine,cyclosporine,2003-02-14,SANDIMMUNE,NOVARTIS,2019-08-29,사이프리엠점안액0.05%(사이클로스포린)(1회용),(주)마더스제약,6040,False
Olopatadine Hydrochloride,olopatadine,2015-01-30,PATADAY ONCE DAILY RELIEF,ALCON LABS INC,2019-08-29,라이트올론점안액0.1%(올로파타딘염산염),(주)라이트팜텍,1672,False
Pregabalin,pregabalin,2013-02-28,PREGABALIN,UPJOHN,2019-08-29,피에스가발린캡슐25밀리그램(프레가발린),(주)제뉴파마,2373,False
Pregabalin,pregabalin,2013-02-28,PREGABALIN,UPJOHN,2019-08-29,피에스가발린캡슐50밀리그램(프레가발린),(주)제뉴파마,2373,False
Ciprofloxacin,ciprofloxacin,2001-09-14,CIPROFLOXACIN HYDROCHLORIDE,SANDOZ,2019-08-29,시플록신주(시프로플록사신),주식회사제뉴원사이언스,6558,False
Tenofovir Disoproxil Fumarate,tenofovir disoproxil fumarate,2019-04-24,VIREAD,GILEAD SCIENCES INC,2019-08-29,다림테노포비르정(테노포비르디소프록실푸마르산염)(수출용),(주)다림바이오텍,127,False
Pregabalin,pregabalin,2013-02-28,PREGABALIN,UPJOHN,2019-08-30,다림프레가발린캡슐75밀리그램(수출용),(주)다림바이오텍,2374,False
Pregabalin,pregabalin,2013-02-28,PREGABALIN,UPJOHN,2019-08-30,다림프레가발린캡슐150밀리그램(수출용),(주)다림바이오텍,2374,False
Rosuvastatin Calcium,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-09-03,로수틴엠정5mg(로수바스타틴칼슘),(주)마더스제약,-1793,True
Nitrous Oxide,nitrous oxide,2017-01-09,NITROUS OXIDE,MATHESON TRI-GAS INC,2019-09-03,엠에스의료용아산화질소,(주)엠에스가스,967,False
Prednisolone Acetate,prednisolone acetate,2002-12-04,PREDNISOLONE ACETATE,SANDOZ,2019-09-04,프레테솔점안액(프레드니솔론아세테이트),국제약품(주),6118,False
Acetaminophen,acetaminophen,2020-02-28,ADVIL DUAL ACTION WITH ACETAMINOPHEN,HALEON US HOLDINGS,2019-09-05,나스펜연질캡슐(아세트아미노펜),조아제약(주),-176,True
Dutasteride,dutasteride,2013-04-30,AVODART,WAYLIS THERAP,2019-09-05,두타스타정0.5밀리그램(두타스테리드),(주)화이트생명과학,2319,False
Gabapentin,gabapentin,2000-09-19,NEURONTIN,VIATRIS,2019-09-09,가바페캡슐100밀리그램(가바펜틴),(유)한풍제약,6929,False
Gabapentin,gabapentin,2000-09-19,NEURONTIN,VIATRIS,2019-09-09,가바페캡슐300밀리그램(가바펜틴),(유)한풍제약,6929,False
Hydrocortisone,hydrocortisone,2016-09-08,CORTEF,PHARMACIA AND UPJOHN,2019-09-09,큐르티손로션(히드로코르티손),주식회사큐엘파마,1096,False
Losartan Potassium,losartan,1998-08-31,COZAAR,ORGANON,2019-09-10,로사텍정(로사르탄칼륨),대원바이오텍주식회사,7680,False
Cetirizine Hydrochloride,cetirizine,2009-07-23,CETIRIZINE HCL,BIONPHARMA,2019-09-10,세노바퀵연질캡슐(세티리진염산염) ,일동제약(주),3701,False
Celecoxib,celecoxib,2024-11-21,CELEBREX,UPJOHN,2019-09-11,셀콕브렉스캡슐200mg(세레콕시브),(주)씨티씨바이오,-1898,True
Risperidone,risperidone,1997-10-17,RISPERIDONE,JANSSEN PHARMS,2019-09-11,뉴리페돈정1밀리그램(리스페리돈),하나제약(주),7999,False
Risperidone,risperidone,1997-10-17,RISPERIDONE,JANSSEN PHARMS,2019-09-11,뉴리페돈정2밀리그램(리스페리돈),하나제약(주),7999,False
Celecoxib,celecoxib,2024-11-21,CELEBREX,UPJOHN,2019-09-17,세레스캡슐100밀리그램(세레콕시브),(유)한풍제약,-1892,True
Mometasone Furoate,mometasone furoate,2020-04-28,SINUVA,INTERSECT ENT INC,2019-09-17,모멘타로션(모메타손푸로에이트),주식회사더유제약,-224,True
Cyclosporine,cyclosporine,2003-02-14,SANDIMMUNE,NOVARTIS,2019-09-17,티제이스타점안액(수출용),(주)태준제약,6059,False
Escitalopram Oxalate,escitalopram oxalate,2016-01-28,LEXAPRO,ABBVIE,2019-09-18,렉사원정5밀리그램(에스시탈로프람옥살산염),하나제약(주),1329,False
Escitalopram Oxalate,escitalopram oxalate,2016-01-28,LEXAPRO,ABBVIE,2019-09-18,렉사원정10밀리그램(에스시탈로프람옥살산염),하나제약(주),1329,False
Rosuvastatin Calcium Micronized,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-09-18,엘로수바정5밀리그램(로수바스타틴칼슘(미분화)),(주)중헌제약,-1778,True
Rosuvastatin Calcium,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-09-18,로트로반정5밀리그램(로수바스타틴칼슘),경동제약(주),-1778,True
Nitrogen,nitrogen,2013-07-23,NITROGEN,ASPEN AIR,2019-09-18,석전의료용질소,석전의료공업(주),2248,False
Rosuvastatin Calcium,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-09-19,로수바트정20mg(로수바스타틴칼슘),엔비케이제약(주),-1777,True
Rosuvastatin Calcium,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-09-19,로수바트정10mg(로수바스타틴칼슘),엔비케이제약(주),-1777,True
Rosuvastatin Calcium,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-09-19,로수바트정5mg(로수바스타틴칼슘),엔비케이제약(주),-1777,True
Acetaminophen,acetaminophen,2020-02-28,ADVIL DUAL ACTION WITH ACETAMINOPHEN,HALEON US HOLDINGS,2019-09-20,탐펜주(아세트아미노펜),(주)에이프로젠바이오로직스,-161,True
Rosuvastatin Calcium,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-09-23,로바칸정10밀리그램(로수바스타틴칼슘),(주)서흥,-1773,True
Rosuvastatin Calcium,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-09-23,로바칸정5밀리그램(로수바스타틴칼슘),(주)서흥,-1773,True
Topiramate,topiramate,2003-06-12,TOPAMAX,JANSSEN PHARMS,2019-09-23,토피버정25밀리그램(토피라메이트),(주)일화,5947,False
Losartan Potassium,losartan,1998-08-31,COZAAR,ORGANON,2019-09-23,자라탄정100밀리그램(로사르탄칼륨),영일제약(주),7693,False
Dutasteride,dutasteride,2013-04-30,AVODART,WAYLIS THERAP,2019-09-26,아리드정0.5밀리그램(두타스테리드),한국프라임제약(주),2340,False
Pregabalin,pregabalin,2013-02-28,PREGABALIN,UPJOHN,2019-09-26,아발린캡슐150밀리그램(프레가발린),(주)셀비온,2401,False
Rosuvastatin Calcium,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-09-26,로바가정20밀리그램(로수바스타틴칼슘),(주)아리제약,-1770,True
Rosuvastatin Calcium,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-09-26,로바가정10밀리그램(로수바스타틴칼슘),(주)아리제약,-1770,True
Azathioprine,azathioprine,1992-04-28,IMURAN,LEGACY PHARMA,2019-09-26,한국유나이티드아자티오프린정50밀리그램(수출용),한국유나이티드제약(주),10012,False
Lidocaine Hydrochloride Hydrate,lidocaine,2014-09-29,ZINGO,POWDER PHARMS,2019-09-26,유리카인겔(리도카인염산염수화물),주식회사큐엘파마,1823,False
Pregabalin,pregabalin,2013-02-28,PREGABALIN,UPJOHN,2019-09-26,아발린캡슐75밀리그램(프레가발린),(주)셀비온,2401,False
Metformin Hydrochloride,metformin,2019-08-12,JANUMET,MSD SUB MERCK,2019-09-26,글루포민서방정500mg(메트포르민염산염),(주)보령바이오파마,45,False
Metformin Hydrochloride,metformin,2019-08-12,JANUMET,MSD SUB MERCK,2019-09-26,케이메트서방정(메트포르민염산염),(주)경보제약,45,False
Metformin Hydrochloride,metformin,2019-08-12,JANUMET,MSD SUB MERCK,2019-09-26,메트글루서방정500밀리그램(메트포르민염산염),(주)메디카코리아,45,False
Quetiapine Fumarate,quetiapine fumarate,2007-05-17,SEROQUEL XR,CHEPLAPHARM,2019-09-26,쿠아핀정200밀리그램(쿠에티아핀푸마르산염),(주)다산제약,4515,False
Quetiapine Fumarate,quetiapine fumarate,2007-05-17,SEROQUEL XR,CHEPLAPHARM,2019-09-26,환인쿠에타핀서방정200밀리그램(쿠에티아핀푸마르산염),환인제약(주),4515,False
Rosuvastatin Calcium,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-09-27,탑스타틴정5밀리그램(로수바스타틴칼슘),대화제약(주),-1769,True
Celecoxib,celecoxib,2024-11-21,CELEBREX,UPJOHN,2019-09-27,"세렉시브캡슐100밀리그램(세레콕시브)
",풍림무약(주),-1882,True
Celecoxib,celecoxib,2024-11-21,CELEBREX,UPJOHN,2019-09-27,"세렉시브캡슐200밀리그램(세레콕시브)
",풍림무약(주),-1882,True
Rosuvastatin Calcium,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-09-30,크로원정10mg(로수바스타틴칼슘),대원바이오텍주식회사,-1766,True
Rosuvastatin Calcium,rosuvastatin calcium,2024-07-31,CRESTOR,ASTRAZENECA,2019-09-30,크로원정5mg(로수바스타틴칼슘),대원바이오텍주식회사,-1766,True
Fluoxetine Hydrochloride,fluoxetine,2011-10-06,FLUOXETINE HCL,TWI PHARMS,2019-09-30,플루옥캡슐20밀리그램(플루옥세틴염산염),한국신텍스제약(주),2916,False
Meropenem Hydrate,meropenem,2024-12-03,MEROPENEM,HQ SPCLT PHARMA,2019-09-30,대웅바이오메로페넴주500밀리그램(메로페넴삼수화물),대웅바이오(주),-1891,True
